POS	iHS	pop	bigpop	gene	x
4032489	-0.384036	YRI	AFR	ADCY9	4032489
4032581	0.125741	YRI	AFR	ADCY9	4032581
4032716	-0.385581	YRI	AFR	ADCY9	4032716
4032802	1.35147	YRI	AFR	ADCY9	4032802
4033012	1.44372	YRI	AFR	ADCY9	4033012
4033054	0.869465	YRI	AFR	ADCY9	4033054
4033197	0.585265	YRI	AFR	ADCY9	4033197
4033436	0.96497	YRI	AFR	ADCY9	4033436
4033522	-0.268893	YRI	AFR	ADCY9	4033522
4033729	0.983831	YRI	AFR	ADCY9	4033729
4033987	-0.0964271	YRI	AFR	ADCY9	4033987
4034001	0.261844	YRI	AFR	ADCY9	4034001
4034067	1.24882	YRI	AFR	ADCY9	4034067
4034403	0.751121	YRI	AFR	ADCY9	4034403
4034573	0.24427	YRI	AFR	ADCY9	4034573
4034641	0.496006	YRI	AFR	ADCY9	4034641
4035068	-0.081402	YRI	AFR	ADCY9	4035068
4035366	-0.232866	YRI	AFR	ADCY9	4035366
4035462	0.517756	YRI	AFR	ADCY9	4035462
4035499	-0.372867	YRI	AFR	ADCY9	4035499
4035532	0.262697	YRI	AFR	ADCY9	4035532
4035583	-0.407236	YRI	AFR	ADCY9	4035583
4035774	0.23999	YRI	AFR	ADCY9	4035774
4035897	0.86317	YRI	AFR	ADCY9	4035897
4036286	-0.113826	YRI	AFR	ADCY9	4036286
4036523	0.0300188	YRI	AFR	ADCY9	4036523
4036608	-0.28592	YRI	AFR	ADCY9	4036608
4037038	0.0964096	YRI	AFR	ADCY9	4037038
4037394	0.224052	YRI	AFR	ADCY9	4037394
4037471	0.070278	YRI	AFR	ADCY9	4037471
4037906	-0.790743	YRI	AFR	ADCY9	4037906
4037918	-0.179018	YRI	AFR	ADCY9	4037918
4038012	0.12369	YRI	AFR	ADCY9	4038012
4038359	0.258716	YRI	AFR	ADCY9	4038359
4038387	0.250347	YRI	AFR	ADCY9	4038387
4038480	-0.788898	YRI	AFR	ADCY9	4038480
4038606	-0.041193	YRI	AFR	ADCY9	4038606
4039351	0.392504	YRI	AFR	ADCY9	4039351
4039379	-0.173299	YRI	AFR	ADCY9	4039379
4039383	0.614406	YRI	AFR	ADCY9	4039383
4039567	-0.764072	YRI	AFR	ADCY9	4039567
4039593	-0.0888409	YRI	AFR	ADCY9	4039593
4039828	-0.670291	YRI	AFR	ADCY9	4039828
4039968	0.526405	YRI	AFR	ADCY9	4039968
4040219	0.38402	YRI	AFR	ADCY9	4040219
4040360	0.977776	YRI	AFR	ADCY9	4040360
4040664	0.367635	YRI	AFR	ADCY9	4040664
4040770	0.249315	YRI	AFR	ADCY9	4040770
4041175	0.249315	YRI	AFR	ADCY9	4041175
4041560	-0.0472161	YRI	AFR	ADCY9	4041560
4041760	0.801115	YRI	AFR	ADCY9	4041760
4041995	-0.80534	YRI	AFR	ADCY9	4041995
4042449	0.345859	YRI	AFR	ADCY9	4042449
4042470	1.25765	YRI	AFR	ADCY9	4042470
4042471	0.993446	YRI	AFR	ADCY9	4042471
4042810	1.15786	YRI	AFR	ADCY9	4042810
4042995	0.339886	YRI	AFR	ADCY9	4042995
4043091	1.27438	YRI	AFR	ADCY9	4043091
4043175	1.89713	YRI	AFR	ADCY9	4043175
4043218	1.71161	YRI	AFR	ADCY9	4043218
4043980	1.16243	YRI	AFR	ADCY9	4043980
4045116	1.56575	YRI	AFR	ADCY9	4045116
4045272	-0.408708	YRI	AFR	ADCY9	4045272
4045367	1.23189	YRI	AFR	ADCY9	4045367
4046952	1.74269	YRI	AFR	ADCY9	4046952
4047118	2.23495	YRI	AFR	ADCY9	4047118
4047619	0.770604	YRI	AFR	ADCY9	4047619
4047746	1.21943	YRI	AFR	ADCY9	4047746
4048218	1.02881	YRI	AFR	ADCY9	4048218
4048602	0.395101	YRI	AFR	ADCY9	4048602
4048634	0.885737	YRI	AFR	ADCY9	4048634
4049365	0.568955	YRI	AFR	ADCY9	4049365
4049439	0.568955	YRI	AFR	ADCY9	4049439
4050383	0.240482	YRI	AFR	ADCY9	4050383
4051065	-0.145506	YRI	AFR	ADCY9	4051065
4051261	-0.0516497	YRI	AFR	ADCY9	4051261
4051513	-0.275953	YRI	AFR	ADCY9	4051513
4051832	0.351628	YRI	AFR	ADCY9	4051832
4052320	-0.346534	YRI	AFR	ADCY9	4052320
4052345	0.0508028	YRI	AFR	ADCY9	4052345
4052388	0.325102	YRI	AFR	ADCY9	4052388
4052486	0.15068	YRI	AFR	ADCY9	4052486
4052717	0.927998	YRI	AFR	ADCY9	4052717
4053329	0.323758	YRI	AFR	ADCY9	4053329
4053570	0.72957	YRI	AFR	ADCY9	4053570
4055224	-0.386625	YRI	AFR	ADCY9	4055224
4055431	0.588868	YRI	AFR	ADCY9	4055431
4056820	-0.0843113	YRI	AFR	ADCY9	4056820
4056927	0.0019452	YRI	AFR	ADCY9	4056927
4057144	0.452588	YRI	AFR	ADCY9	4057144
4057603	-0.99054	YRI	AFR	ADCY9	4057603
4057637	-0.166166	YRI	AFR	ADCY9	4057637
4057703	0.098511	YRI	AFR	ADCY9	4057703
4057744	0.145425	YRI	AFR	ADCY9	4057744
4057767	0.148804	YRI	AFR	ADCY9	4057767
4057778	0.138537	YRI	AFR	ADCY9	4057778
4057875	-0.376269	YRI	AFR	ADCY9	4057875
4057918	0.334729	YRI	AFR	ADCY9	4057918
4057983	0.198626	YRI	AFR	ADCY9	4057983
4058769	0.507351	YRI	AFR	ADCY9	4058769
4059401	0.123247	YRI	AFR	ADCY9	4059401
4059439	0.589903	YRI	AFR	ADCY9	4059439
4060301	0.64991	YRI	AFR	ADCY9	4060301
4060661	0.0606919	YRI	AFR	ADCY9	4060661
4060760	-0.414415	YRI	AFR	ADCY9	4060760
4060980	0.00770131	YRI	AFR	ADCY9	4060980
4061103	0.107037	YRI	AFR	ADCY9	4061103
4061616	0.696644	YRI	AFR	ADCY9	4061616
4061908	-0.376069	YRI	AFR	ADCY9	4061908
4061912	-0.376069	YRI	AFR	ADCY9	4061912
4062436	0.833086	YRI	AFR	ADCY9	4062436
4062592	0.833086	YRI	AFR	ADCY9	4062592
4063551	-0.0593887	YRI	AFR	ADCY9	4063551
4064326	1.37588	YRI	AFR	ADCY9	4064326
4064339	0.364013	YRI	AFR	ADCY9	4064339
4064368	0.364013	YRI	AFR	ADCY9	4064368
4064798	0.092162	YRI	AFR	ADCY9	4064798
4064996	0.484099	YRI	AFR	ADCY9	4064996
4065065	-0.874323	YRI	AFR	ADCY9	4065065
4065412	0.141857	YRI	AFR	ADCY9	4065412
4065495	0.270246	YRI	AFR	ADCY9	4065495
4065583	0.436485	YRI	AFR	ADCY9	4065583
4065677	-0.251793	YRI	AFR	ADCY9	4065677
4065736	-0.877332	YRI	AFR	ADCY9	4065736
4065743	0.0250779	YRI	AFR	ADCY9	4065743
4065992	-0.184719	YRI	AFR	ADCY9	4065992
4066061	1.41125	YRI	AFR	ADCY9	4066061
4066191	0.375792	YRI	AFR	ADCY9	4066191
4066435	0.402759	YRI	AFR	ADCY9	4066435
4066924	0.0406963	YRI	AFR	ADCY9	4066924
4066984	-0.0529812	YRI	AFR	ADCY9	4066984
4068237	0.762919	YRI	AFR	ADCY9	4068237
4068342	0.592623	YRI	AFR	ADCY9	4068342
4068374	0.552307	YRI	AFR	ADCY9	4068374
4068563	0.549707	YRI	AFR	ADCY9	4068563
4068798	0.0565564	YRI	AFR	ADCY9	4068798
4069987	0.783384	YRI	AFR	ADCY9	4069987
4070085	1.44548	YRI	AFR	ADCY9	4070085
4070433	1.20737	YRI	AFR	ADCY9	4070433
4071461	0.305077	YRI	AFR	ADCY9	4071461
4071929	-0.170732	YRI	AFR	ADCY9	4071929
4072538	0.185933	YRI	AFR	ADCY9	4072538
4072616	0.185933	YRI	AFR	ADCY9	4072616
4072774	0.187415	YRI	AFR	ADCY9	4072774
4073152	-0.329234	YRI	AFR	ADCY9	4073152
4073670	0.852098	YRI	AFR	ADCY9	4073670
4074258	0.357399	YRI	AFR	ADCY9	4074258
4074304	0.762092	YRI	AFR	ADCY9	4074304
4074908	0.762092	YRI	AFR	ADCY9	4074908
4075152	-0.118245	YRI	AFR	ADCY9	4075152
4075656	0.239436	YRI	AFR	ADCY9	4075656
4075912	1.1069	YRI	AFR	ADCY9	4075912
4076047	1.1069	YRI	AFR	ADCY9	4076047
4076094	1.20525	YRI	AFR	ADCY9	4076094
4076136	-0.332176	YRI	AFR	ADCY9	4076136
4076470	0.515935	YRI	AFR	ADCY9	4076470
4076676	1.63437	YRI	AFR	ADCY9	4076676
4076752	0.46366	YRI	AFR	ADCY9	4076752
4076830	2.06824	YRI	AFR	ADCY9	4076830
4077138	0.544746	YRI	AFR	ADCY9	4077138
4077178	1.07988	YRI	AFR	ADCY9	4077178
4077442	1.84342	YRI	AFR	ADCY9	4077442
4077461	-1.03453	YRI	AFR	ADCY9	4077461
4077605	2.67572	YRI	AFR	ADCY9	4077605
4077818	2.709	YRI	AFR	ADCY9	4077818
4078247	2.64566	YRI	AFR	ADCY9	4078247
4078478	2.68273	YRI	AFR	ADCY9	4078478
4078516	2.5068	YRI	AFR	ADCY9	4078516
4078744	2.57525	YRI	AFR	ADCY9	4078744
4079531	-1.858	YRI	AFR	ADCY9	4079531
4079538	1.78779	YRI	AFR	ADCY9	4079538
4079618	-1.74375	YRI	AFR	ADCY9	4079618
4080013	-1.78092	YRI	AFR	ADCY9	4080013
4080385	0.674522	YRI	AFR	ADCY9	4080385
4080757	1.58003	YRI	AFR	ADCY9	4080757
4081033	1.57966	YRI	AFR	ADCY9	4081033
4081138	0.554827	YRI	AFR	ADCY9	4081138
4081417	0.995766	YRI	AFR	ADCY9	4081417
4082254	1.01133	YRI	AFR	ADCY9	4082254
4082659	-0.285834	YRI	AFR	ADCY9	4082659
4082699	-0.475073	YRI	AFR	ADCY9	4082699
4083105	-0.052251	YRI	AFR	ADCY9	4083105
4083361	-0.55628	YRI	AFR	ADCY9	4083361
4083527	0.238607	YRI	AFR	ADCY9	4083527
4084210	0.55312	YRI	AFR	ADCY9	4084210
4084253	0.973453	YRI	AFR	ADCY9	4084253
4084496	0.60961	YRI	AFR	ADCY9	4084496
4084818	0.354114	YRI	AFR	ADCY9	4084818
4085545	0.2685	YRI	AFR	ADCY9	4085545
4086533	0.245968	YRI	AFR	ADCY9	4086533
4086861	0.24516	YRI	AFR	ADCY9	4086861
4086874	0.16428	YRI	AFR	ADCY9	4086874
4087211	-0.220741	YRI	AFR	ADCY9	4087211
4087512	-0.16679	YRI	AFR	ADCY9	4087512
4087976	-0.481365	YRI	AFR	ADCY9	4087976
4088191	-0.27691	YRI	AFR	ADCY9	4088191
4088559	0.175877	YRI	AFR	ADCY9	4088559
4088776	0.0960128	YRI	AFR	ADCY9	4088776
4089074	0.342279	YRI	AFR	ADCY9	4089074
4089231	0.232	YRI	AFR	ADCY9	4089231
4089793	0.11018	YRI	AFR	ADCY9	4089793
4090819	0.308627	YRI	AFR	ADCY9	4090819
4090835	0.184275	YRI	AFR	ADCY9	4090835
4091131	0.18893	YRI	AFR	ADCY9	4091131
4091807	-2.01607	YRI	AFR	ADCY9	4091807
4091830	0.259438	YRI	AFR	ADCY9	4091830
4091831	0.259438	YRI	AFR	ADCY9	4091831
4091955	0.829695	YRI	AFR	ADCY9	4091955
4091994	-0.732757	YRI	AFR	ADCY9	4091994
4092053	-0.528669	YRI	AFR	ADCY9	4092053
4092081	-0.528669	YRI	AFR	ADCY9	4092081
4092082	0.828382	YRI	AFR	ADCY9	4092082
4092145	-0.549555	YRI	AFR	ADCY9	4092145
4092146	0.32122	YRI	AFR	ADCY9	4092146
4092171	0.81327	YRI	AFR	ADCY9	4092171
4092480	-0.700283	YRI	AFR	ADCY9	4092480
4093048	0.968247	YRI	AFR	ADCY9	4093048
4093105	-0.533665	YRI	AFR	ADCY9	4093105
4093226	0.817452	YRI	AFR	ADCY9	4093226
4093275	-1.05614	YRI	AFR	ADCY9	4093275
4093287	-0.138069	YRI	AFR	ADCY9	4093287
4093390	-0.473325	YRI	AFR	ADCY9	4093390
4093511	-0.472332	YRI	AFR	ADCY9	4093511
4093567	0.776947	YRI	AFR	ADCY9	4093567
4093615	0.776947	YRI	AFR	ADCY9	4093615
4093648	-0.557172	YRI	AFR	ADCY9	4093648
4093664	-0.459027	YRI	AFR	ADCY9	4093664
4093769	0.7648	YRI	AFR	ADCY9	4093769
4094157	0.764521	YRI	AFR	ADCY9	4094157
4094328	-0.695887	YRI	AFR	ADCY9	4094328
4094479	0.416442	YRI	AFR	ADCY9	4094479
4094794	-0.435915	YRI	AFR	ADCY9	4094794
4094803	-1.07198	YRI	AFR	ADCY9	4094803
4094844	-0.683806	YRI	AFR	ADCY9	4094844
4094953	1.74005	YRI	AFR	ADCY9	4094953
4095126	-0.469889	YRI	AFR	ADCY9	4095126
4095234	-1.00998	YRI	AFR	ADCY9	4095234
4095679	-1.52575	YRI	AFR	ADCY9	4095679
4095762	-0.449344	YRI	AFR	ADCY9	4095762
4095809	1.706	YRI	AFR	ADCY9	4095809
4095988	-1.01725	YRI	AFR	ADCY9	4095988
4096325	-1.01702	YRI	AFR	ADCY9	4096325
4096368	1.70565	YRI	AFR	ADCY9	4096368
4096394	-0.506862	YRI	AFR	ADCY9	4096394
4096485	-1.02842	YRI	AFR	ADCY9	4096485
4096511	0.270622	YRI	AFR	ADCY9	4096511
4096541	1.1938	YRI	AFR	ADCY9	4096541
4096542	1.1938	YRI	AFR	ADCY9	4096542
4096586	-1.0354	YRI	AFR	ADCY9	4096586
4096952	1.71485	YRI	AFR	ADCY9	4096952
4097071	-1.51267	YRI	AFR	ADCY9	4097071
4097098	-0.55695	YRI	AFR	ADCY9	4097098
4097222	-0.616282	YRI	AFR	ADCY9	4097222
4097260	-0.520225	YRI	AFR	ADCY9	4097260
4097579	-0.839003	YRI	AFR	ADCY9	4097579
4097824	-1.30813	YRI	AFR	ADCY9	4097824
4098305	1.27514	YRI	AFR	ADCY9	4098305
4098582	-1.1655	YRI	AFR	ADCY9	4098582
4098661	1.28425	YRI	AFR	ADCY9	4098661
4098784	0.755404	YRI	AFR	ADCY9	4098784
4098985	-0.581271	YRI	AFR	ADCY9	4098985
4099001	0.487117	YRI	AFR	ADCY9	4099001
4099981	0.169267	YRI	AFR	ADCY9	4099981
4100268	0.270242	YRI	AFR	ADCY9	4100268
4100353	0.290905	YRI	AFR	ADCY9	4100353
4100354	-0.69384	YRI	AFR	ADCY9	4100354
4100545	-0.0716397	YRI	AFR	ADCY9	4100545
4100583	0.743055	YRI	AFR	ADCY9	4100583
4100900	0.5488	YRI	AFR	ADCY9	4100900
4101083	0.246662	YRI	AFR	ADCY9	4101083
4101175	-0.663613	YRI	AFR	ADCY9	4101175
4101243	0.0570471	YRI	AFR	ADCY9	4101243
4101300	0.0570471	YRI	AFR	ADCY9	4101300
4101386	0.231232	YRI	AFR	ADCY9	4101386
4101660	0.586526	YRI	AFR	ADCY9	4101660
4102069	0.388784	YRI	AFR	ADCY9	4102069
4102082	0.249457	YRI	AFR	ADCY9	4102082
4102864	-0.275189	YRI	AFR	ADCY9	4102864
4103022	0.554299	YRI	AFR	ADCY9	4103022
4103520	0.645792	YRI	AFR	ADCY9	4103520
4103871	-0.262702	YRI	AFR	ADCY9	4103871
4103882	0.0715296	YRI	AFR	ADCY9	4103882
4104299	-0.307091	YRI	AFR	ADCY9	4104299
4104512	0.316005	YRI	AFR	ADCY9	4104512
4104586	0.136555	YRI	AFR	ADCY9	4104586
4104697	0.873807	YRI	AFR	ADCY9	4104697
4105641	0.547922	YRI	AFR	ADCY9	4105641
4106788	1.45049	YRI	AFR	ADCY9	4106788
4106789	2.01767	YRI	AFR	ADCY9	4106789
4107142	1.26105	YRI	AFR	ADCY9	4107142
4107245	1.55174	YRI	AFR	ADCY9	4107245
4107990	1.03072	YRI	AFR	ADCY9	4107990
4108115	0.946468	YRI	AFR	ADCY9	4108115
4108603	0.200755	YRI	AFR	ADCY9	4108603
4108708	0.468301	YRI	AFR	ADCY9	4108708
4108907	-0.770125	YRI	AFR	ADCY9	4108907
4109409	-0.80044	YRI	AFR	ADCY9	4109409
4109534	-0.489443	YRI	AFR	ADCY9	4109534
4109594	0.536025	YRI	AFR	ADCY9	4109594
4109664	0.536025	YRI	AFR	ADCY9	4109664
4109825	0.294532	YRI	AFR	ADCY9	4109825
4110036	-0.459036	YRI	AFR	ADCY9	4110036
4110127	-0.928269	YRI	AFR	ADCY9	4110127
4110193	0.0979346	YRI	AFR	ADCY9	4110193
4110750	0.105159	YRI	AFR	ADCY9	4110750
4111525	-0.678038	YRI	AFR	ADCY9	4111525
4113236	0.6571	YRI	AFR	ADCY9	4113236
4114709	0.198782	YRI	AFR	ADCY9	4114709
4115028	0.28386	YRI	AFR	ADCY9	4115028
4115493	-0.115176	YRI	AFR	ADCY9	4115493
4115728	-0.30727	YRI	AFR	ADCY9	4115728
4116588	-0.829132	YRI	AFR	ADCY9	4116588
4117429	0.411253	YRI	AFR	ADCY9	4117429
4117930	0.520722	YRI	AFR	ADCY9	4117930
4118391	-0.0110883	YRI	AFR	ADCY9	4118391
4118462	-0.0110883	YRI	AFR	ADCY9	4118462
4118690	0.225217	YRI	AFR	ADCY9	4118690
4118878	0.012056	YRI	AFR	ADCY9	4118878
4120076	0.208135	YRI	AFR	ADCY9	4120076
4120121	-0.0450304	YRI	AFR	ADCY9	4120121
4120857	0.945637	YRI	AFR	ADCY9	4120857
4121921	0.112972	YRI	AFR	ADCY9	4121921
4122223	0.406946	YRI	AFR	ADCY9	4122223
4122923	-0.383904	YRI	AFR	ADCY9	4122923
4123323	1.01778	YRI	AFR	ADCY9	4123323
4123420	1.01778	YRI	AFR	ADCY9	4123420
4123585	-0.827571	YRI	AFR	ADCY9	4123585
4123633	1.01218	YRI	AFR	ADCY9	4123633
4124107	1.0143	YRI	AFR	ADCY9	4124107
4124280	-0.1202	YRI	AFR	ADCY9	4124280
4124300	1.08379	YRI	AFR	ADCY9	4124300
4124590	-0.35324	YRI	AFR	ADCY9	4124590
4125824	0.0359904	YRI	AFR	ADCY9	4125824
4126201	-0.317685	YRI	AFR	ADCY9	4126201
4126202	-0.239941	YRI	AFR	ADCY9	4126202
4126531	0.938259	YRI	AFR	ADCY9	4126531
4126976	-0.321473	YRI	AFR	ADCY9	4126976
4127276	1.12703	YRI	AFR	ADCY9	4127276
4128400	-1.10987	YRI	AFR	ADCY9	4128400
4128516	-0.32459	YRI	AFR	ADCY9	4128516
4128563	-0.243832	YRI	AFR	ADCY9	4128563
4128581	-0.159626	YRI	AFR	ADCY9	4128581
4128631	-0.216194	YRI	AFR	ADCY9	4128631
4128641	1.17036	YRI	AFR	ADCY9	4128641
4128843	0.789749	YRI	AFR	ADCY9	4128843
4128953	-1.09149	YRI	AFR	ADCY9	4128953
4129753	-1.30162	YRI	AFR	ADCY9	4129753
4129915	0.159781	YRI	AFR	ADCY9	4129915
4130193	-2.39866	YRI	AFR	ADCY9	4130193
4130204	-0.0338677	YRI	AFR	ADCY9	4130204
4130444	-1.32268	YRI	AFR	ADCY9	4130444
4131838	0.935649	YRI	AFR	ADCY9	4131838
4131883	-1.11308	YRI	AFR	ADCY9	4131883
4131898	-0.274645	YRI	AFR	ADCY9	4131898
4132777	0.872888	YRI	AFR	ADCY9	4132777
4133013	1.64286	YRI	AFR	ADCY9	4133013
4133033	-0.86847	YRI	AFR	ADCY9	4133033
4133076	1.64348	YRI	AFR	ADCY9	4133076
4133618	-2.14153	YRI	AFR	ADCY9	4133618
4133821	-1.5919	YRI	AFR	ADCY9	4133821
4134162	1.48949	YRI	AFR	ADCY9	4134162
4134246	1.44311	YRI	AFR	ADCY9	4134246
4134659	-2.07791	YRI	AFR	ADCY9	4134659
4134815	-1.41966	YRI	AFR	ADCY9	4134815
4135260	-0.30188	YRI	AFR	ADCY9	4135260
4135294	1.43195	YRI	AFR	ADCY9	4135294
4135295	2.05997	YRI	AFR	ADCY9	4135295
4135350	-0.563881	YRI	AFR	ADCY9	4135350
4135418	-0.448429	YRI	AFR	ADCY9	4135418
4135562	-0.586862	YRI	AFR	ADCY9	4135562
4135758	-1.14318	YRI	AFR	ADCY9	4135758
4135898	-0.253634	YRI	AFR	ADCY9	4135898
4136157	-0.933329	YRI	AFR	ADCY9	4136157
4136172	-1.38846	YRI	AFR	ADCY9	4136172
4136266	-1.23518	YRI	AFR	ADCY9	4136266
4136418	-0.711405	YRI	AFR	ADCY9	4136418
4136727	0.162428	YRI	AFR	ADCY9	4136727
4136871	0.42719	YRI	AFR	ADCY9	4136871
4137019	-2.46347	YRI	AFR	ADCY9	4137019
4137179	-0.468768	YRI	AFR	ADCY9	4137179
4137262	0.402964	YRI	AFR	ADCY9	4137262
4137329	-0.369911	YRI	AFR	ADCY9	4137329
4137856	0.345766	YRI	AFR	ADCY9	4137856
4138378	-0.924819	YRI	AFR	ADCY9	4138378
4138473	2.50988	YRI	AFR	ADCY9	4138473
4138477	-1.80182	YRI	AFR	ADCY9	4138477
4139156	-0.335202	YRI	AFR	ADCY9	4139156
4139364	-0.925089	YRI	AFR	ADCY9	4139364
4139419	-0.246151	YRI	AFR	ADCY9	4139419
4140188	-0.773144	YRI	AFR	ADCY9	4140188
4140298	0.132202	YRI	AFR	ADCY9	4140298
4140459	-1.79613	YRI	AFR	ADCY9	4140459
4141127	-0.555792	YRI	AFR	ADCY9	4141127
4141231	-0.398068	YRI	AFR	ADCY9	4141231
4141277	0.362233	YRI	AFR	ADCY9	4141277
4141728	0.265546	YRI	AFR	ADCY9	4141728
4141788	-0.521912	YRI	AFR	ADCY9	4141788
4142492	-0.760678	YRI	AFR	ADCY9	4142492
4143181	-1.23435	YRI	AFR	ADCY9	4143181
4145141	-1.47869	YRI	AFR	ADCY9	4145141
4145164	0.269877	YRI	AFR	ADCY9	4145164
4145949	-1.52483	YRI	AFR	ADCY9	4145949
4146695	0.486818	YRI	AFR	ADCY9	4146695
4147180	-0.00857326	YRI	AFR	ADCY9	4147180
4147523	0.207979	YRI	AFR	ADCY9	4147523
4147630	-0.365485	YRI	AFR	ADCY9	4147630
4148407	0.524681	YRI	AFR	ADCY9	4148407
4148434	-0.358641	YRI	AFR	ADCY9	4148434
4148478	0.214149	YRI	AFR	ADCY9	4148478
4148617	-1.94266	YRI	AFR	ADCY9	4148617
4148689	-0.304339	YRI	AFR	ADCY9	4148689
4149095	-0.724766	YRI	AFR	ADCY9	4149095
4149131	-1.48023	YRI	AFR	ADCY9	4149131
4149175	-0.283823	YRI	AFR	ADCY9	4149175
4149229	-0.621566	YRI	AFR	ADCY9	4149229
4149541	-0.614614	YRI	AFR	ADCY9	4149541
4150427	0.667794	YRI	AFR	ADCY9	4150427
4150448	0.350795	YRI	AFR	ADCY9	4150448
4150479	-1.56321	YRI	AFR	ADCY9	4150479
4151587	-0.228104	YRI	AFR	ADCY9	4151587
4151597	0.613652	YRI	AFR	ADCY9	4151597
4151999	-1.45289	YRI	AFR	ADCY9	4151999
4152190	0.673372	YRI	AFR	ADCY9	4152190
4152718	0.456005	YRI	AFR	ADCY9	4152718
4153153	-1.38558	YRI	AFR	ADCY9	4153153
4153161	-0.542472	YRI	AFR	ADCY9	4153161
4153178	-0.736997	YRI	AFR	ADCY9	4153178
4153389	-1.35738	YRI	AFR	ADCY9	4153389
4153524	0.619832	YRI	AFR	ADCY9	4153524
4154338	0.724656	YRI	AFR	ADCY9	4154338
4154536	0.483794	YRI	AFR	ADCY9	4154536
4154551	1.34299	YRI	AFR	ADCY9	4154551
4154851	-1.12752	YRI	AFR	ADCY9	4154851
4155082	-0.00460078	YRI	AFR	ADCY9	4155082
4155419	1.06359	YRI	AFR	ADCY9	4155419
4155538	-0.451445	YRI	AFR	ADCY9	4155538
4155599	0.962784	YRI	AFR	ADCY9	4155599
4155608	-0.36296	YRI	AFR	ADCY9	4155608
